Company,Breakdown,Total Revenue,Operating Revenue,Cost of Revenue,Gross Profit,Operating Expense,Selling General and Administrative,Research & Development,Operating Income,Net Non Operating Interest Income Expense,Interest Income Non Operating,Interest Expense Non Operating,Other Income Expense,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items,Total Unusual Items Excluding Goodwill,Total Unusual Items,Earnings from Equity Interest Net of Tax,Average Dilution Earnings
Apple Inc.,ttm,"387,537,000","387,537,000","220,666,000","166,871,000","52,906,000","25,252,000","27,654,000","113,965,000","-197,000","3,043,000","3,240,000","-283,000","-283,000","113,485,000","18,314,000","95,171,000","95,171,000","95,171,000","95,171,000","95,171,000",-,-,-,-,"113,965,000","273,572,000","95,171,000","95,171,000","3,043,000","3,240,000","-197,000","116,725,000","128,048,000","220,666,000","11,323,000","95,171,000","128,048,000",0,0,,,,
Apple Inc.,9/29/2022,"394,328,000","394,328,000","223,546,000","170,782,000","51,345,000","25,094,000","26,251,000","119,437,000","-106,000","2,825,000","2,931,000","-228,000","-228,000","119,103,000","19,300,000","99,803,000","99,803,000","99,803,000","99,803,000","99,803,000",6.15,6.11,"16,215,963","16,325,819","119,437,000","274,891,000","99,803,000","99,803,000","2,825,000","2,931,000","-106,000","122,034,000",-,"223,546,000","11,104,000","99,803,000","133,138,000",0,0,,,,
Apple Inc.,9/29/2021,"365,817,000","365,817,000","212,981,000","152,836,000","43,887,000","21,973,000","21,914,000","108,949,000","198,000","2,843,000","2,645,000","60,000","60,000","109,207,000","14,527,000","94,680,000","94,680,000","94,680,000","94,680,000","94,680,000",5.67,5.61,"16,701,272","16,864,919","108,949,000","256,868,000","94,680,000","94,680,000","2,843,000","2,645,000","198,000","111,852,000",-,"212,981,000","11,284,000","94,680,000","123,136,000",0,0,,,,
Apple Inc.,9/29/2020,"274,515,000","274,515,000","169,559,000","104,956,000","38,668,000","19,916,000","18,752,000","66,288,000","890,000","3,763,000","2,873,000","-87,000","-87,000","67,091,000","9,680,000","57,411,000","57,411,000","57,411,000","57,411,000","57,411,000",3.31,3.28,"17,352,119","17,528,214","66,288,000","208,227,000","57,411,000","57,411,000","3,763,000","2,873,000","890,000","69,964,000",-,"169,559,000","11,056,000","57,411,000","81,020,000",0,0,,,,
Apple Inc.,9/29/2019,"260,174,000","260,174,000","161,782,000","98,392,000","34,462,000","18,245,000","16,217,000","63,930,000","1,385,000","4,961,000","3,576,000","422,000","422,000","65,737,000","10,481,000","55,256,000","55,256,000","55,256,000","55,256,000","55,256,000",2.99,2.97,"18,471,336","18,595,652","63,930,000","196,244,000","55,256,000","55,256,000","4,961,000","3,576,000","1,385,000","69,313,000",-,"161,782,000","12,547,000","55,256,000","81,860,000",0,0,,,,
Microsoft Corporation,ttm,"204,094,000",,"64,984,000","139,110,000","56,295,000",,,"82,815,000","423,000",,,"-650,000",,"82,588,000","15,139,000","67,449,000",,,,"67,449,000",-,-,-,-,"82,815,000","121,279,000","67,449,000","67,895,731","2,412,000","1,989,000","423,000","84,577,000","98,767,000","64,984,000","14,190,000","67,449,000","99,314,000",0,"-100,269","-547,000","-547,000",,
Microsoft Corporation,6/29/2022,"198,270,000",,"62,650,000","135,620,000","52,237,000",,,"83,383,000","31,000",,,"302,000",,"83,716,000","10,978,000","72,738,000",,,,"72,738,000",9.70,9.65,"7,496,000","7,540,000","83,383,000","114,887,000","72,738,000","72,447,420","2,094,000","2,063,000","31,000","85,779,000",-,"62,650,000","14,460,000","72,738,000","99,905,000",0,"43,420","334,000","334,000",,
Microsoft Corporation,6/29/2021,"168,088,000",,"52,232,000","115,856,000","45,940,000",,,"69,916,000","-215,000",,,"1,401,000",,"71,102,000","9,831,000","61,271,000",,,,"61,271,000",8.12,8.05,"7,547,000","7,608,000","69,916,000","98,172,000","61,271,000","60,150,420","2,131,000","2,346,000","-215,000","73,448,000",-,"52,232,000","11,686,000","61,271,000","83,831,000",0,"182,420","1,303,000","1,303,000",,
Microsoft Corporation,6/29/2020,"143,015,000",,"46,078,000","96,937,000","43,978,000",,,"52,959,000","89,000",,,"-12,000",,"53,036,000","8,755,000","44,281,000",,,,"44,281,000",5.82,5.76,"7,610,000","7,683,000","52,959,000","90,056,000","44,281,000","44,257,620","2,680,000","2,591,000","89,000","55,627,000",-,"46,078,000","12,796,000","44,281,000","68,395,000",0,"4,620","28,000","28,000",,
Microsoft Corporation,6/29/2019,"125,843,000",,"42,910,000","82,933,000","39,974,000",,,"42,959,000","76,000",,,"653,000",,"43,688,000","4,448,000","39,240,000",,,,"39,240,000",5.11,5.06,"7,673,000","7,753,000","42,959,000","82,884,000","39,240,000","38,602,420","2,762,000","2,686,000","76,000","46,374,000",-,"42,910,000","11,682,000","39,240,000","57,346,000",0,"72,420","710,000","710,000",,
