Company,Breakdown,Total Assets,Current Assets,"Cash, Cash Equivalents & Short Term Investments",Cash And Cash Equivalents,Cash,Cash Equivalents,Other Short Term Investments,Receivables,Accounts receivable,Other Receivables,Inventory,Other Current Assets,Total non-current assets,Net PPE,Gross PPE,Properties,Land And Improvements,Machinery Furniture Equipment,Leases,Accumulated Depreciation,Investments And Advances,Investment in Financial Assets,Available for Sale Securities,Other Investments,Other Non Current Assets,Total Liabilities Net Minority Interest,Current Liabilities,Payables And Accrued Expenses,Payables,Accounts Payable,Current Debt And Capital Lease Obligation,Current Debt,Commercial Paper,Other Current Borrowings,Current Deferred Liabilities,Current Deferred Revenue,Other Current Liabilities,Total Non Current Liabilities Net Minority Interest,Long Term Debt And Capital Lease Obligation,Long Term Debt,Tradeand Other Payables Non Current,Other Non Current Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Common Stock,Retained Earnings,Gains Losses Not Affecting Retained Earnings,Total Capitalization,Common Stock Equity,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Gross Accounts Receivable,Allowance For Doubtful Accounts Receivable,Raw Materials,Work in Process,Finished Goods,Hedging Assets Current,Buildings And Improvements,Other Properties,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Long Term Equity Investment,Total Tax Payable,Income Tax Payable,Pension & Other Post Retirement Benefit Plans Current,Long Term Capital Lease Obligation,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Non Current Deferred Revenue,Capital Lease Obligations,Prepaid Assets,Construction in Progress,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Non Current Prepaid Assets,Other Payable,Current Accrued Expenses,Interest Payable,Current Capital Lease Obligation,Employee Benefits,Preferred Stock,Additional Paid in Capital,Treasury Stock,Treasury Shares Number,Notes Receivable,Due from Related Parties Current,Receivables Adjustments Allowances,Investments in Associatesat Cost,Held To Maturity Securities,Dividends Payable,Due to Related Parties Current,Non Current Pension And Other Post-Retirement Benefit Plans,Other Equity Adjustments,Other Equity Interest,Minority Interest,Preferred Stock Equity,Preferred Shares Number,Taxes Receivable,Inventories Adjustments Allowances,Assets Held for Sale Current,Financial Assets,Non Current Accounts Receivable,Non Current Note Receivables,Defined Pension Benefit,Non Current Accrued Expenses,Derivative Product Liabilities,Loans Receivable,Other Inventories,Current Deferred Assets,Current Provisions,Long Term Provisions,Investments in Other Ventures Under Equity Method,Preferred Securities Outside Stock Equity,Liabilities Held for Sale Non Current,Restricted Cash,Line of Credit,Unrealized Gain Loss,Minimum Pension Liabilities,Foreign Currency Translation Adjustments
Apple Inc.,9/29/2022,"352,755,000","135,405,000","48,304,000","23,646,000","18,546,000","5,100,000","24,658,000","60,932,000","28,184,000","32,748,000","4,946,000","21,223,000","217,350,000","42,117,000","114,457,000",0,"22,126,000","81,060,000","11,271,000","-72,340,000","120,805,000","120,805,000","120,805,000","120,805,000","54,428,000","302,083,000","153,982,000","64,115,000","64,115,000","64,115,000","21,110,000","21,110,000","9,982,000","11,128,000","7,912,000","7,912,000","60,845,000","148,101,000","98,959,000","98,959,000","16,657,000","32,485,000","50,672,000","50,672,000","64,849,000","64,849,000","-3,068,000","-11,109,000","149,631,000","50,672,000","50,672,000","-18,577,000","170,741,000","50,672,000","120,069,000","96,423,000","15,943,425","15,943,425",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Inc.,9/29/2021,"351,002,000","134,836,000","62,639,000","34,940,000","17,305,000","17,635,000","27,699,000","51,506,000","26,278,000","25,228,000","6,580,000","14,111,000","216,166,000","39,440,000","109,723,000",0,"20,041,000","78,659,000","11,023,000","-70,283,000","127,877,000","127,877,000","127,877,000","127,877,000","48,849,000","287,912,000","125,481,000","54,763,000","54,763,000","54,763,000","15,613,000","15,613,000","6,000,000","9,613,000","7,612,000","7,612,000","47,493,000","162,431,000","109,106,000","109,106,000","24,689,000","28,636,000","63,090,000","63,090,000","57,365,000","57,365,000","5,562,000","163,000","172,196,000","63,090,000","63,090,000","9,355,000","187,809,000","63,090,000","124,719,000","89,779,000","16,426,786","16,426,786",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Inc.,9/29/2020,"323,888,000","143,713,000","90,943,000","38,016,000","17,773,000","20,243,000","52,927,000","37,445,000","16,120,000","21,325,000","4,061,000","11,264,000","180,175,000","36,766,000","103,526,000",0,"17,952,000","75,291,000","10,283,000","-66,760,000","100,887,000","100,887,000","100,887,000","100,887,000","42,522,000","258,549,000","105,392,000","42,296,000","42,296,000","42,296,000","13,769,000","13,769,000","4,996,000","8,773,000","6,643,000","6,643,000","42,684,000","153,157,000","98,667,000","98,667,000","28,170,000","26,320,000","65,339,000","65,339,000","50,779,000","50,779,000","14,966,000","-406,000","164,006,000","65,339,000","65,339,000","38,321,000","177,775,000","65,339,000","112,436,000","74,420,000","16,976,763","16,976,763",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Inc.,9/29/2019,"338,516,000","162,819,000","100,557,000","48,844,000","12,204,000","36,640,000","51,713,000","45,804,000","22,926,000","22,878,000","4,106,000","12,352,000","175,697,000","37,378,000","95,957,000",0,"17,085,000","69,797,000","9,075,000","-58,579,000","105,341,000","105,341,000","105,341,000","105,341,000","32,978,000","248,028,000","105,718,000","46,236,000","46,236,000","46,236,000","16,240,000","16,240,000","5,980,000","10,260,000","5,522,000","5,522,000","37,720,000","142,310,000","91,807,000","91,807,000","29,545,000","20,958,000","90,488,000","90,488,000","45,174,000","45,174,000","45,898,000","-584,000","182,295,000","90,488,000","90,488,000","57,101,000","198,535,000","90,488,000","108,047,000","59,203,000","17,772,944","17,772,944",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft Corporation,6/29/2022,"364,840,000","169,684,000","104,749,000","13,931,000","8,258,000","5,673,000","90,818,000","44,261,000","44,261,000",,"3,742,000","16,924,000","195,156,000","87,546,000","147,206,000",0,"4,734,000","66,491,000","7,819,000","-59,660,000","6,891,000",,,,"21,897,000","198,298,000","95,082,000","23,067,000","23,067,000","19,000,000","2,749,000","2,749,000",,,"45,538,000","45,538,000","13,067,000","103,216,000","58,521,000","47,032,000","26,069,000","15,526,000","166,542,000","166,542,000","86,939,000","86,939,000","84,281,000","-4,678,000","213,574,000","166,542,000","87,720,000","74,602,000","216,323,000","87,720,000","61,270,000","35,850,000","7,464,000","7,464,000","44,894,000","-633,000","1,144,000","82,000","2,516,000","8,000","55,014,000","13,148,000","78,822,000","67,524,000","11,298,000","6,891,000","4,067,000","4,067,000","10,661,000","11,489,000","3,100,000","230,000","2,870,000","11,489,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft Corporation,6/29/2021,"333,779,000","184,406,000","130,334,000","14,224,000","7,272,000","6,952,000","116,110,000","38,043,000","38,043,000",,"2,636,000","13,393,000","149,373,000","70,803,000","122,154,000",0,"3,660,000","56,594,000","6,884,000","-51,351,000","5,984,000",,,,"15,075,000","191,791,000","88,657,000","17,337,000","17,337,000","15,163,000","8,072,000","8,072,000",,,"41,525,000","41,525,000","11,666,000","103,134,000","59,703,000","50,074,000","27,190,000","13,427,000","141,988,000","141,988,000","83,111,000","83,111,000","57,055,000","1,822,000","192,062,000","141,988,000","84,477,000","95,749,000","200,134,000","84,477,000","67,775,000","43,922,000","7,519,000","7,519,000","38,794,000","-751,000","1,190,000","79,000","1,367,000",0,"43,928,000","11,088,000","57,511,000","49,711,000","7,800,000","5,984,000","2,174,000","2,174,000","10,057,000","9,629,000","2,814,000","198,000","2,616,000","9,629,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft Corporation,6/29/2020,"301,311,000","181,915,000","136,527,000","13,576,000",-,-,"122,951,000","32,011,000","32,011,000",,"1,895,000","11,482,000","119,396,000","52,904,000","96,101,000",0,"1,823,000","46,043,000","5,487,000","-43,197,000","2,965,000",,,,"13,138,000","183,007,000","72,310,000","14,660,000","14,660,000","12,530,000","3,749,000","3,749,000",,,"36,000,000","36,000,000","10,027,000","110,697,000","67,249,000","59,578,000","29,432,000","10,632,000","118,304,000","118,304,000","80,552,000","80,552,000","34,566,000","3,186,000","177,882,000","118,304,000","67,915,000","109,605,000","181,631,000","67,915,000","70,998,000","49,751,000","7,571,000","7,571,000","32,799,000","-788,000","700,000","83,000","1,112,000",-,"33,995,000","8,753,000","50,389,000","43,351,000","7,038,000","2,965,000","2,130,000","2,130,000","7,874,000","7,671,000","3,384,000","204,000","3,180,000","7,671,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft Corporation,6/29/2019,"286,556,000","175,552,000","133,819,000","11,356,000",-,-,"122,463,000","29,524,000","29,524,000",,"2,063,000","10,146,000","111,004,000","43,856,000","79,186,000",0,"1,540,000","38,663,000","5,316,000","-35,330,000","2,649,000",,,,"14,723,000","184,226,000","69,420,000","15,047,000","15,047,000","9,382,000","5,516,000","5,516,000",,,"32,676,000","32,676,000","9,351,000","114,806,000","72,850,000","66,662,000","29,612,000","7,581,000","102,330,000","102,330,000","78,520,000","78,520,000","24,150,000","-340,000","168,992,000","102,330,000","52,554,000","106,132,000","174,508,000","52,554,000","78,366,000","60,822,000","7,643,000","7,643,000","29,935,000","-411,000","399,000","53,000","1,611,000",-,"26,288,000","7,379,000","49,776,000","42,026,000","7,750,000","2,649,000","5,665,000","5,665,000","6,830,000","6,188,000","4,763,000","233,000","4,530,000","6,188,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA Corporation,1/30/2023,"41,182,000","23,073,000","13,296,000","3,389,000",,,"9,907,000","3,827,000","3,827,000",,"5,159,000","791,000","18,109,000","4,845,000","7,539,000",0,"218,000","4,303,000",-,"-2,694,000","299,000",,,"299,000","145,000","19,081,000","6,563,000","3,386,000","1,660,000","1,193,000","1,426,000","1,250,000",,"1,250,000","354,000","354,000","1,397,000","12,518,000","10,605,000","9,703,000","1,385,000","63,000","22,101,000","22,101,000","2,000","2,000","10,171,000","-43,000","31,804,000","22,101,000","16,053,000","16,510,000","33,054,000","16,053,000","12,031,000","7,564,000","2,466,000","2,466,000",-,-,"2,430,000","466,000","2,263,000",,"1,598,000","1,038,000","6,048,000","4,372,000","1,676,000",,"467,000",,,"902,000","465,000","247,000","218,000","1,078,000",-,"382,000","3,396,000","3,396,000","3,376,000",-,"1,726,000",-,"176,000",-,0,"11,971,000",-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA Corporation,1/30/2022,"44,187,000","28,829,000","21,208,000","1,990,000",,,"19,218,000","4,650,000","4,650,000",,"2,605,000",-,"15,358,000","3,607,000","5,510,000",0,"218,000","2,852,000",-,"-1,903,000","266,000",,,"266,000","62,000","17,575,000","4,335,000","3,192,000","1,783,000","1,783,000",-,-,,-,"300,000","300,000","843,000","13,240,000","11,687,000","10,946,000","980,000","126,000","26,612,000","26,612,000","3,000","3,000","16,235,000","-11,000","37,558,000","26,612,000","19,924,000","24,494,000","37,558,000","19,924,000","11,687,000","8,956,000","2,506,000","2,506,000",-,-,"791,000","692,000","1,122,000",,"874,000","829,000","6,688,000","4,349,000","2,339,000",,-,,,"741,000","447,000","245,000","202,000","741,000","366,000","737,000","1,222,000","1,222,000","3,513,000",-,"1,409,000",-,-,-,0,"10,385,000",0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
